,weeks,js_scores
0,36 - (36-37),0.5255078496083574
1,(36-37) - (36-38),0.3970938176300407
2,(36-38) - (36-39),0.42443138432495775
3,(36-39) - (36-40),0.0949499868351755
4,(36-40) - (36-41),0.29602702579325424
5,(36-41) - (36-42),0.29602702579325424
6,(36-42) - (36-43),-0.0
7,(36-43) - (36-44),0.009433981132056603
8,(36-44) - (36-45),0.011467344941179715
9,(36-45) - (36-46),0.09540702280230738
10,(36-46) - (36-47),0.19580219610617242
11,(36-47) - (36-48),0.13937359864766352
12,(36-48) - (36-49),0.2709750911061753
13,(36-49) - (36-50),0.2923320030376421
14,(36-50) - (36-51),-0.0
